id,label
1,0.64354
2,0.64625
3,0.062447
4,0.094525
5,0.13463
6,0.16352
7,0.5157
8,0.67172
9,0.5832
10,0.078228
11,0.054235
12,0.6062
13,0.52688
14,0.59194
15,0.15843
16,0.51171
17,0.60619
18,0.5789
19,0.13909
20,0.059895
21,0.57092
22,0.50046
23,0.08208
24,0.50141
25,0.18874
26,0.023371
27,0.57491
28,0.51837
29,0.51972
30,0.65876
31,0.081482
32,0.16519
33,0.024362
34,0.0061124
35,0.57681
36,0.51759
37,0.52554
38,0.14569
39,0.12496
40,0.53396
41,0.037636
42,0.030999
43,0.64909
44,0.12442
45,0.67016
46,0.50767
47,0.61267
48,0.15943
49,0.15608
50,0.064575
51,0.023474
52,0.15585
53,0.57986
54,0.15861
55,0.63085
56,0.010639
57,0.63571
58,0.0072691
59,0.65336
60,0.66825
61,0.062103
62,0.52629
63,0.010215
64,0.18418
65,0.59123
66,0.53983
67,0.051093
68,0.51741
69,0.59206
70,0.062061
71,0.0074021
72,0.55663
73,0.012201
74,0.63824
75,0.55508
76,0.52419
77,0.090642
78,0.63882
79,0.045463
80,0.6543
81,0.0026375
82,0.6476
83,0.61865
84,0.12842
85,0.52028
86,0.054966
87,0.70764
88,0.66921
89,0.61806
90,0.026649
91,0.067619
92,0.66197
93,0.64344
94,0.53348
95,0.095343
96,0.58251
97,0.58786
98,0.56333
99,0.6248
100,0.094913
101,0.67803
102,0.54504
103,0.60414
104,0.048973
105,0.58515
106,0.62418
107,0.71066
108,0.10301
109,0.16537
110,0.018827
111,0.62761
112,0.72812
113,0.59555
114,0.63949
115,0.047708
116,0.54458
117,0.18968
118,0.68338
119,0.60519
120,0.53039
121,0.0069571
122,0.51593
123,0.077694
124,0.08253
125,0.62257
126,0.074488
127,0.58677
128,0.029015
129,0.61491
130,0.16137
131,0.58822
132,0.60149
133,0.016776
134,0.64004
135,0.12781
136,0.54024
137,0.64743
138,0.092382
139,0.62175
140,0.14296
141,0.57481
142,0.13265
143,0.53021
144,0.67884
145,0.63507
146,0.10132
147,0.044765
148,0.55866
149,0.65738
150,0.14793
151,0.16079
152,0.59254
153,0.18063
154,0.66596
155,0.52446
156,0.56634
157,0.067231
158,0.13918
159,0.55691
160,0.5107
161,0.55937
162,0.51946
163,0.60527
164,0.56734
165,0.53347
166,0.076602
167,0.58305
168,0.6483
169,0.10599
170,0.20174
171,0.56661
172,0.57416
173,0.50559
174,0.51437
175,0.64578
176,0.61124
177,0.66909
178,0.044377
179,0.63622
180,0.66379
181,0.56988
182,0.00012558
183,0.62018
184,0.68107
185,0.23123
186,0.15432
187,0.089728
188,0.12883
189,0.084935
190,0.056117
191,0.52409
192,0.60841
193,0.13396
194,0.50981
195,0.58498
196,0.51706
197,0.58817
198,0.58123
199,0.67583
200,0.60493
201,0.58996
202,0.58315
203,0.021665
204,0.59706
205,0.53782
206,0.027944
207,0.57665
208,0.60021
209,0.0305
210,0.043231
211,0.62527
212,0.5672
213,0.035585
214,0.053511
215,0.58322
216,0.59164
217,0.52269
218,0.61078
219,0.057822
220,0.63376
221,0.65099
222,0.54742
223,0.58013
224,0.094163
225,0.66989
226,0.59766
227,0.65441
228,0.58897
229,0.65201
230,0.013476
231,0.21365
232,0.51261
233,0.63304
234,0.16278
235,0.5027
236,0.57352
237,0.55861
238,0.58038
239,0.13449
240,0.51404
241,0.632
242,0.091104
243,0.085811
244,0.007913
245,0.5354
246,0.54311
247,0.59217
248,0.20046
249,0.52238
250,0.63986
251,0.053932
252,0.01413
253,0.52812
254,0.65316
255,0.098009
256,0.58297
257,0.65094
258,0.61076
259,0.61225
260,0.20345
261,0.61697
262,0.54843
263,0.060809
264,0.12408
265,0.15257
266,0.56329
267,0.094163
268,0.092272
269,0.60928
270,0.60672
271,0.046917
272,0.59675
273,0.67162
274,0.066681
275,0.12995
276,0.58339
277,0.67853
278,0.086254
279,0.56695
280,0.53993
281,0.1694
282,0.5522
283,0.10047
284,0.54036
285,0.17978
286,0.17692
287,0.14213
288,0.55694
289,0.75052
290,0.75655
291,0.59054
292,0.10426
293,0.68534
294,0.61287
295,0.5935
296,0.10329
297,0.082781
298,0.0059196
299,0.61149
300,0.20055
301,0.6384
302,0.63036
303,0.11929
304,0.086292
305,0.69775
306,0.0057843
307,0.077355
308,0.026846
309,0.15463
310,0.63416
311,0.64985
312,0.15517
313,0.65049
314,0.2837
315,0.10513
316,0.56012
317,0.55757
318,0.51568
319,0.67479
320,0.52894
321,0.60974
322,0.0054217
323,0.52171
324,0.14949
325,0.066156
326,0.6329
327,0.13571
328,0.67099
329,0.5258
330,0.50983
331,0.055245
332,0.094443
333,0.51617
334,0.53806
335,0.58868
336,0.56936
337,0.65843
338,0.5522
339,0.56339
340,0.53829
341,0.067979
342,0.12647
343,0.55232
344,0.67418
345,0.55257
346,0.59174
347,0.56452
348,0.57555
349,0.70533
350,0.61174
351,0.042471
352,0.53192
353,0.58339
354,0.52065
355,0.50383
356,0.60944
357,0.52213
358,0.046351
359,0.53587
360,0.643
361,0.041296
362,0.58262
363,0.50061
364,0.53401
365,0.56373
366,0.53861
367,0.56098
368,0.54859
369,0.54274
370,0.54664
371,0.54419
372,0.03155
373,0.54119
374,0.60685
375,0.64689
376,0.58708
377,0.53355
378,0.6476
379,0.56893
380,0.68823
381,0.58581
382,0.58204
383,0.66569
384,0.57062
385,0.52262
386,0.60037
387,0.10794
388,0.082209
389,0.53993
390,0.57412
391,0.0047669
392,0.20543
393,0.5971
394,0.70146
395,0.64482
396,0.53127
397,0.18121
398,0.61256
399,0.62057
400,0.0036256
401,0.60916
402,0.077895
403,0.62526
404,0.010406
405,0.083941
406,0.69116
407,0.56778
408,0.54906
409,0.022578
410,0.07448
411,0.029585
412,0.094672
413,0.66502
414,0.58542
415,0.655
416,0.53627
417,0.62339
418,0.15131
419,0.51995
420,0.0065246
421,0.0047978
422,0.67102
423,0.064423
424,0.63996
425,0.50035
426,0.56182
427,0.16077
428,0.55034
429,0.056396
430,0.58215
431,0.066402
432,0.66218
433,0.60272
434,0.17203
435,0.6282
436,0.078081
437,0.53983
438,0.64576
439,0.54255
440,0.052552
441,0.16692
442,0.046786
443,0.14271
444,0.14066
445,0.67311
446,0.079256
447,0.11837
448,0.12665
449,0.0034406
450,0.62717
451,0.58294
452,0.51654
453,0.049579
454,0.62912
455,0.50087
456,0.0089659
457,0.090759
458,0.58105
459,0.54259
460,0.53916
461,0.045449
462,0.59346
463,0.54175
464,0.62093
465,0.23133
466,0.56164
467,0.065142
468,0.19045
469,0.5724
470,0.082325
471,0.64536
472,0.069536
473,0.5435
474,0.65604
475,0.049311
476,0.039349
477,0.58648
478,0.094616
479,0.54226
480,0.63738
481,0.68627
482,0.65482
483,0.59206
484,0.53883
485,0.60279
486,0.018055
487,0.64956
488,0.53815
489,0.00029649
490,0.50335
491,0.6167
492,0.56245
493,0.074555
494,0.06646
495,0.51063
496,0.56954
497,0.56835
498,0.61486
499,0.57745
500,0.66636
501,0.56706
502,0.11415
503,0.51925
504,0.14794
505,0.62782
506,0.052554
507,0.62503
508,0.65423
509,0.70986
510,0.55762
511,0.20071
512,0.24463
513,0.61767
514,0.050946
515,0.58687
516,0.55534
517,0.53228
518,0.58171
519,0.0029461
520,0.037508
521,0.10384
522,0.1154
523,0.042774
524,0.098002
525,0.54124
526,0.12064
527,0.62839
528,0.62013
529,0.53862
530,0.52078
531,0.64857
532,0.60694
533,0.041275
534,0.62153
535,0.54813
536,0.67629
537,0.55603
538,0.065422
539,0.62526
540,0.6251
541,0.071301
542,0.1269
543,0.14242
544,0.026215
545,0.020315
546,0.62899
547,0.56007
548,0.59729
549,0.18488
550,0.54958
551,0.66662
552,0.66627
553,0.62962
554,0.071573
555,0.53922
556,0.58623
557,0.64344
558,0.56628
559,0.60528
560,0.0092077
561,0.59314
562,0.05727
563,0.59644
564,0.043376
565,0.62206
566,0.61399
567,0.59952
568,0.62188
569,0.5542
570,0.063615
571,0.02577
572,0.12193
573,0.003435
574,0.57483
575,0.50356
576,0.67921
577,0.11468
578,0.014936
579,0.57214
580,0.55501
581,0.01566
582,0.70123
583,0.56921
584,0.65028
585,0.5286
586,0.57016
587,0.15812
588,0.52038
589,0.10069
590,0.65201
591,0.17761
592,0.018797
593,0.61085
594,0.56084
595,0.54399
596,0.15866
597,0.089084
598,0.58308
599,0.66376
600,0.5845
601,0.64646
602,0.015628
603,0.61468
604,0.54836
605,0.20728
606,0.0062369
607,0.59892
608,0.608
609,0.094008
610,0.6202
611,0.68801
612,0.61907
613,0.54613
614,0.55861
615,0.55524
616,0.57549
617,0.03832
618,0.03113
619,0.098601
620,0.65535
621,0.0072158
622,0.69116
623,0.080625
624,0.11123
625,0.66872
626,0.60373
627,0.00033145
628,0.26771
629,0.13083
630,0.62979
631,0.55757
632,0.53757
633,0.56567
634,0.049131
635,0.67175
636,0.61314
637,0.067781
638,0.079821
639,0.17374
640,0.53997
641,0.004844
642,0.11586
643,0.07871
644,0.59911
645,0.50948
646,0.51976
647,0.671
648,0.58667
649,0.03726
650,0.54113
651,0.54815
652,0.56959
653,0.57769
654,0.51739
655,0.56275
656,0.59379
657,0.66144
658,0.5278
659,0.0022464
660,0.54353
661,0.69133
662,0.00024276
663,0.00074481
664,0.60793
665,0.665
666,0.53833
667,0.66584
668,0.58169
669,0.54238
670,0.65278
671,0.081409
672,0.11897
673,0.56464
674,0.049959
675,0.64336
676,0.59237
677,0.66367
678,0.64936
679,0.5124
680,0.58059
681,0.012491
682,0.6182
683,0.50862
684,0.0031659
685,0.68108
686,0.13155
687,0.17043
688,0.085201
689,0.58512
690,0.17848
691,0.60196
692,0.084352
693,0.56275
694,0.083214
695,0.52199
696,0.53894
697,0.1875
698,0.27655
699,0.59865
700,0.0625
701,0.12663
702,0.61701
703,0.071105
704,0.57854
705,0.6406
706,0.67412
707,0.62131
708,0.050564
709,0.66852
710,0.076999
711,0.5812
712,0.14069
713,0.58165
714,0.60063
715,0.54119
716,0.16473
717,0.012821
718,0.17815
719,0.62325
720,0.55007
721,0.63557
722,0.064973
723,0.0031064
724,0.13487
725,0.56361
726,0.56572
727,0.62857
728,0.65175
729,0.65221
730,0.11564
731,0.031827
732,0.50758
733,0.11235
734,0.55559
735,0.5625
736,0.52162
737,0.62468
738,0.56882
739,0.50201
740,0.51474
741,0.17898
742,0.062681
743,0.62705
744,0.033006
745,0.022295
746,0.59477
747,0.6453
748,0.58338
749,0.094148
750,0.60655
751,0.65112
752,0.62301
753,0.66003
754,0.52892
755,0.14447
756,0.56248
757,0.61706
758,0.59427
759,0.22733
760,0.61917
761,0.71934
762,0.12475
763,0.50096
764,0.57128
765,0.10083
766,0.70961
767,0.59031
768,0.61965
769,0.65209
770,0.52976
771,0.038293
772,0.50192
773,0.036833
774,0.71887
775,0.57679
776,0.51748
777,0.5682
778,0.62232
779,0.61318
780,0.63956
781,0.13901
782,0.0708
783,0.59104
784,0.58379
785,0.085011
786,0.54773
787,0.11202
788,0.54746
789,0.60655
790,0.51381
791,0.55348
792,0.61225
793,0.58721
794,0.61492
795,0.05171
796,0.13833
797,0.63656
798,0.57133
799,0.59415
800,0.57382
801,0.54819
802,0.64868
803,0.57299
804,0.66028
805,0.64228
806,0.68638
807,0.50266
808,0.56258
809,0.5538
810,0.60097
811,0.69016
812,0.56538
813,0.02308
814,0.054378
815,0.58198
816,0.59079
817,0.50045
818,0.5588
819,0.57929
820,0.13637
821,0.62972
822,0.63954
823,0.63626
824,0.12963
825,0.53648
826,0.50166
827,0.16131
828,0.63872
829,0.56862
830,0.16117
831,0.51527
832,0.023652
833,0.65589
834,0.1648
835,0.53986
836,0.23216
837,0.52234
838,0.66205
839,0.58609
840,0.097235
841,0.21619
842,0.13257
843,0.52342
844,0.045372
845,0.022495
846,0.55321
847,0.65426
848,0.63821
849,0.56569
850,0.0069966
851,0.59145
852,0.60709
853,0.059088
854,0.52791
855,0.51779
856,0.0019264
857,0.56245
858,0.1524
859,0.55623
860,0.59454
861,0.052356
862,0.61059
863,0.55784
864,0.58202
865,0.079173
866,0.65589
867,0.064605
868,0.61086
869,0.52109
870,0.048412
871,0.61112
872,0.55223
873,0.050224
874,0.6584
875,0.022767
876,0.1096
877,0.12826
878,0.60092
879,0.5614
880,0.63565
881,0.52041
882,0.67164
883,0.044356
884,0.63025
885,0.075537
886,0.0084292
887,0.023025
888,0.56297
889,0.50286
890,0.16927
891,0.11344
892,0.036639
893,0.63324
894,0.73143
895,0.007544
896,0.58563
897,0.10064
898,0.02271
899,0.58404
900,0.00093571
901,0.56549
902,0.025876
903,0.50254
904,0.076114
905,0.53081
906,0.085751
907,0.51802
908,0.65674
909,0.12862
910,0.00065984
911,0.62922
912,0.5151
913,0.58782
914,0.63245
915,0.62058
916,0.60259
917,0.52958
918,0.66712
919,0.63234
920,0.039031
921,0.23175
922,0.60911
923,0.5915
924,0.58246
925,0.16991
926,0.50575
927,0.29668
928,0.07122
929,0.5827
930,0.67044
931,0.5239
932,0.61311
933,0.062488
934,0.55644
935,0.62354
936,0.13599
937,0.51537
938,0.12881
939,0.63468
940,0.52611
941,0.035857
942,0.59862
943,0.16531
944,0.14511
945,0.51829
946,0.55542
947,0.059586
948,0.12989
949,0.59587
950,0.057864
951,0.51879
952,0.63906
953,0.54296
954,0.062734
955,0.17738
956,0.0027192
957,0.53101
958,0.56852
959,0.5764
960,0.059984
961,0.16813
962,0.046967
963,0.0038596
964,0.085762
965,0.04986
966,0.66551
967,0.22846
968,0.65322
969,0.5932
970,0.63706
971,0.52807
972,0.13719
973,0.12907
974,0.051394
975,0.18568
976,0.69511
977,0.0088492
978,0.61268
979,0.63277
980,0.65144
981,0.055485
982,0.14228
983,0.55763
984,0.72769
985,0.556
986,0.60015
987,0.50337
988,0.56705
989,0.50288
990,0.53274
991,0.031437
992,0.56381
993,0.051719
994,0.00025374
995,0.61158
996,0.088285
997,0.1648
998,0.59893
999,0.60281
1000,0.010355
1001,0.52895
1002,0.57651
1003,0.50049
1004,0.063487
1005,0.60695
1006,0.68292
1007,0.53979
1008,0.05787
1009,0.51213
